Kernel Interface table
Iface      MTU    RX-OK RX-ERR RX-DRP RX-OVR    TX-OK TX-ERR TX-DRP TX-OVR Flg
s1-eth99  1500   276624      0      0 0        270379      0      0      0 BMRU
s1-eth10  1500   299049      0      0 0        292740      0      0      0 BMRU
s1-eth10  1500 26322117      0      0 0      27135522      0      0      0 BMRU
Kernel Interface table
Iface      MTU    RX-OK RX-ERR RX-DRP RX-OVR    TX-OK TX-ERR TX-DRP TX-OVR Flg
enp0s31f  1500   956185      0      0 0        115858      0      0      0 BMRU
lo       65536   665176      0      0 0        665176      0      0      0 LRU
s1-eth1   1500   525206      0      0 0        517654      0      0      0 BMRU
s1-eth2   1500   349056      0      0 0        342302      0      0      0 BMRU
s1-eth3   1500   356822      0      0 0        347789      0      0      0 BMRU
s1-eth4   1500   355491      0      0 0        349927      0      0      0 BMRU
s1-eth5   1500   322798      0      0 0        317545      0      0      0 BMRU
s1-eth6   1500   295640      0      0 0        288646      0      0      0 BMRU
s1-eth7   1500   293841      0      0 0        287634      0      0      0 BMRU
s1-eth8   1500   290146      0      0 0        281426      0      0      0 BMRU
s1-eth9   1500   295893      0      0 0        286859      0      0      0 BMRU
s1-eth10  1500   280427      0      0 0        272245      0      0      0 BMRU
s1-eth11  1500   289615      0      0 0        280940      0      0      0 BMRU
s1-eth12  1500   291244      0      0 0        283782      0      0      0 BMRU
s1-eth13  1500   278072      0      0 0        267248      0      0      0 BMRU
s1-eth14  1500   269173      0      0 0        261322      0      0      0 BMRU
s1-eth15  1500   270322      0      0 0        262237      0      0      0 BMRU
s1-eth16  1500   270515      0      0 0        262632      0      0      0 BMRU
s1-eth17  1500   273264      0      0 0        264228      0      0      0 BMRU
s1-eth18  1500   284231      0      0 0        278549      0      0      0 BMRU
s1-eth19  1500   279421      0      0 0        270154      0      0      0 BMRU
s1-eth20  1500   267321      0      0 0        260491      0      0      0 BMRU
s1-eth21  1500   274500      0      0 0        265515      0      0      0 BMRU
s1-eth22  1500   265934      0      0 0        259765      0      0      0 BMRU
s1-eth23  1500   299129      0      0 0        292322      0      0      0 BMRU
s1-eth24  1500   280133      0      0 0        271019      0      0      0 BMRU
s1-eth25  1500   275369      0      0 0        268220      0      0      0 BMRU
s1-eth26  1500   275131      0      0 0        267764      0      0      0 BMRU
s1-eth27  1500   269532      0      0 0        263428      0      0      0 BMRU
s1-eth28  1500   265638      0      0 0        258582      0      0      0 BMRU
s1-eth29  1500   263222      0      0 0        254430      0      0      0 BMRU
s1-eth30  1500   267767      0      0 0        258033      0      0      0 BMRU
s1-eth31  1500   266559      0      0 0        259123      0      0      0 BMRU
s1-eth32  1500   271996      0      0 0        260894      0      0      0 BMRU
s1-eth33  1500   269980      0      0 0        263624      0      0      0 BMRU
s1-eth34  1500   256928      0      0 0        247507      0      0      0 BMRU
s1-eth35  1500   274793      0      0 0        264862      0      0      0 BMRU
s1-eth36  1500   258776      0      0 0        250491      0      0      0 BMRU
s1-eth37  1500   264970      0      0 0        257777      0      0      0 BMRU
s1-eth38  1500   272823      0      0 0        262913      0      0      0 BMRU
s1-eth39  1500   271866      0      0 0        261417      0      0      0 BMRU
s1-eth40  1500   263900      0      0 0        256716      0      0      0 BMRU
s1-eth41  1500   275740      0      0 0        266515      0      0      0 BMRU
s1-eth42  1500   262407      0      0 0        254651      0      0      0 BMRU
s1-eth43  1500   262561      0      0 0        255651      0      0      0 BMRU
s1-eth44  1500   267902      0      0 0        256601      0      0      0 BMRU
s1-eth45  1500   264327      0      0 0        256873      0      0      0 BMRU
s1-eth46  1500   259904      0      0 0        250233      0      0      0 BMRU
s1-eth47  1500   263918      0      0 0        254708      0      0      0 BMRU
s1-eth48  1500   271946      0      0 0        262774      0      0      0 BMRU
s1-eth49  1500   254033      0      0 0        248242      0      0      0 BMRU
s1-eth50  1500   261491      0      0 0        253044      0      0      0 BMRU
s1-eth51  1500   276492      0      0 0        265500      0      0      0 BMRU
s1-eth52  1500   259386      0      0 0        251869      0      0      0 BMRU
s1-eth53  1500   260135      0      0 0        250715      0      0      0 BMRU
s1-eth54  1500   268758      0      0 0        260528      0      0      0 BMRU
s1-eth55  1500   262569      0      0 0        252047      0      0      0 BMRU
s1-eth56  1500   261190      0      0 0        255410      0      0      0 BMRU
s1-eth57  1500   251023      0      0 0        243056      0      0      0 BMRU
s1-eth58  1500   255466      0      0 0        249789      0      0      0 BMRU
s1-eth59  1500   248852      0      0 0        241660      0      0      0 BMRU
s1-eth60  1500   256902      0      0 0        248500      0      0      0 BMRU
s1-eth61  1500   258308      0      0 0        250231      0      0      0 BMRU
s1-eth62  1500   255164      0      0 0        248053      0      0      0 BMRU
s1-eth63  1500   262177      0      0 0        254099      0      0      0 BMRU
s1-eth64  1500   264853      0      0 0        255994      0      0      0 BMRU
s1-eth65  1500   257239      0      0 0        249218      0      0      0 BMRU
s1-eth66  1500   248951      0      0 0        241611      0      0      0 BMRU
s1-eth67  1500   266226      0      0 0        258509      0      0      0 BMRU
s1-eth68  1500   250328      0      0 0        242238      0      0      0 BMRU
s1-eth69  1500   265711      0      0 0        258286      0      0      0 BMRU
s1-eth70  1500   257332      0      0 0        251235      0      0      0 BMRU
s1-eth71  1500   264643      0      0 0        255595      0      0      0 BMRU
s1-eth72  1500   253782      0      0 0        244407      0      0      0 BMRU
s1-eth73  1500   255859      0      0 0        247070      0      0      0 BMRU
s1-eth74  1500   281132      0      0 0        273009      0      0      0 BMRU
s1-eth75  1500   259251      0      0 0        250685      0      0      0 BMRU
s1-eth76  1500   264979      0      0 0        257167      0      0      0 BMRU
s1-eth77  1500   281121      0      0 0        272365      0      0      0 BMRU
s1-eth78  1500   257166      0      0 0        249752      0      0      0 BMRU
s1-eth79  1500   262201      0      0 0        253798      0      0      0 BMRU
s1-eth80  1500   258385      0      0 0        250374      0      0      0 BMRU
s1-eth81  1500   264507      0      0 0        254172      0      0      0 BMRU
s1-eth82  1500   267948      0      0 0        260157      0      0      0 BMRU
s1-eth83  1500   257497      0      0 0        250216      0      0      0 BMRU
s1-eth84  1500   266639      0      0 0        258851      0      0      0 BMRU
s1-eth85  1500   255279      0      0 0        245840      0      0      0 BMRU
s1-eth86  1500   266149      0      0 0        257230      0      0      0 BMRU
s1-eth87  1500   268363      0      0 0        260417      0      0      0 BMRU
s1-eth88  1500   264300      0      0 0        256244      0      0      0 BMRU
s1-eth89  1500   263897      0      0 0        255327      0      0      0 BMRU
s1-eth90  1500   254042      0      0 0        245802      0      0      0 BMRU
s1-eth91  1500   274897      0      0 0        266332      0      0      0 BMRU
s1-eth92  1500   263989      0      0 0        256207      0      0      0 BMRU
s1-eth93  1500   254605      0      0 0        247421      0      0      0 BMRU
s1-eth94  1500   262956      0      0 0        255684      0      0      0 BMRU
